"Gene.names","pvalue.-log10","FoldChange","CBX1.T_4","CBX1.T_3","CBX1.T_2","CBX1.T_1","NLS.T_4","NLS.T_3","NLS.T_2","NLS.T_1"
"ADAMTS12",1.62368537041219,2.946,23.1759108599645,23.045751123086,23.2844219669927,22.8567809977206,20.1872635405464,21.9961323651817,21.5655789173293,16.8285280415664
"ADAMTS15",3.6499470492752,2.577,19.1717328428269,18.3234660657619,19.3486365604681,19.7051365961845,17.4404849637179,16.0676296118872,16.1068842072918,16.6275848098791
"ADAMTS7",3.22121859859313,1.434,21.238394504913,20.8878236846663,20.8030904505888,21.5634204310728,19.4651928390332,19.2481729670076,19.8431392319374,20.1992922888373
"ADAMTSL1",0.372838596599951,-0.221,23.2061072980754,23.8061548783501,22.8528053066218,23.443976665724,23.9285334169123,23.440013849747,23.0484292708241,23.7761495403937
"ADAR",8.19784351626247,2.597,28.6517206702873,28.7366915177717,28.6775107732323,28.654813056202,26.1295930947615,25.9800685757888,26.1966339436375,26.0278218764564
"ADARB1",1.17845772978769,0.849,19.7528726311399,19.4750596996619,19.4908356054181,19.7364680300896,19.0478939582485,18.3502832954065,17.841471484476,19.8207332372053
"ADAT1",4.20694093673908,1.401,23.5901054036574,23.4459790001717,23.6957206790155,23.1795783016667,22.2673702300304,22.1682539673752,21.6694896803499,22.2027719426887
"ADD1",5.05130222798484,-1.183,23.4326987589228,23.615646289376,23.5397428364502,23.3277636356644,24.583555194056,24.7455746472181,24.5268877688111,24.7919939900834
"ADD2",5.67221593545753,-1.558,21.3064222691729,21.6419300739605,21.5759982849519,21.5861685861879,22.898376350185,23.0639505036685,23.1473869654242,23.2315381391396
"ADD3",6.57082586512982,-1.728,20.7494694080804,20.8139798125095,20.5719557327929,20.5744759775636,22.364407717723,22.3289561462583,22.4493966729472,22.4791171702023
"ADI1",1.63009595921545,-0.385,22.0029405529114,21.9091891856353,21.9216000346143,21.8648327154379,22.6006470316964,22.3998611572319,22.1779300970358,22.0597279594422
"ADISSP",0.99179064136114,-1.143,18.6176378522809,17.3686555300809,16.8099626460463,18.3456304667201,18.5868010068323,17.5459996072325,19.7595558993465,19.821523874449
"ADK",1.01543793674595,-0.618,20.1484156359856,20.194915368669,19.3294152813744,20.05773485384,20.9014657569071,20.7900676123892,20.8337604961144,19.6774927215858
"ADNP",6.14242220389524,1.564,30.4010125019486,30.2379200349841,30.3109653050973,30.3834532997607,28.8414760586752,28.8275550911722,28.8403199354545,28.5660455636224
"ADNP2",5.76137665196373,3.949,24.9223206861657,24.8457978118809,24.9745418671969,25.2136292818262,20.9949744222447,20.1645744518995,21.4048797503326,21.595273475249
"ADO",0.141434030910062,0.048,22.9976854441638,23.1508028153242,23.1129363350723,22.9471356047237,23.0667615664057,23.2503162405818,22.9456907285774,22.7535994033995
"ADPRS",0.299157662760334,-0.194,17.3615895622821,17.777966217887,18.4182731990374,18.519976144038,18.0700295108852,18.3191253308995,18.4730857403958,17.9900291230999
"ADSL",1.52853281643071,-0.853,20.2011896900245,20.0256059786647,18.8175096568473,19.9496442305194,20.4258006738212,20.9209179762029,20.7741218978706,20.2850658721817
"ADSS2",0.839404957427711,-0.416,20.9565862714505,21.4840765177042,21.4695056290235,21.2830050954177,22.1042573930406,21.7729081488439,21.9696014533774,21.0102750949584
"AEBP2",0.357669651355768,0.759,19.8338169443425,18.716279964556,17.3567377396712,19.0769354696975,19.0463251687163,15.6207489124563,17.5784444258495,19.7007511332067
"AFAP1",0.8689153879303,-0.163,23.8075045264976,23.8621044040348,23.8146921971309,23.6855757516888,24.0740629861366,23.8377119880075,23.967811352803,23.9423255550803
"AFDN",2.87536274220932,-0.531,24.7867417827339,24.7740194150084,24.5950830706015,24.5491675313285,25.2500712109407,25.2735733941285,25.0516269363153,25.2555979184777
"AFF1",6.23561899319145,-1.762,21.450630012059,21.4727229622743,21.5430501715346,21.173665160657,23.2635042747605,23.2352527247866,23.1284577020537,23.0623635445265
"AFF3",2.93475065841147,-0.737,22.3044496010112,22.6755056835108,22.9240019798913,22.6307601482702,23.253457309168,23.4034294799739,23.490335934326,23.3335980192596
"AFF4",5.46312205982891,-1.565,24.3667233432896,24.2145312047562,24.0828632991943,24.6142824394445,25.8571601796564,25.9538611162722,25.8791935083612,25.847968617765
"AFG2A",2.54834299494177,-1.119,21.3325413844836,21.4175268756568,20.5900595019701,21.2432916021438,22.0820990881228,22.7049465511283,22.4766863016642,21.7975159540729
"AFG2B",3.18056977800974,-1.779,19.8050474738512,18.9077508895259,19.4850040358355,20.4518348205387,21.5682985395414,21.6439931446595,21.033363432372,21.518725104732
"AFTPH",4.98591346397437,-1.394,22.6737818931709,22.5772220282232,22.544734672916,22.5583331199239,24.2385292647975,24.1122915008308,23.8819852028328,23.69866184415
"AGAP1",0.855119845982806,1.406,19.74343213484,20.0052250449088,19.891473350158,18.350719524427,19.0557155424735,18.3537594014205,19.4039988866712,15.5524605909735
"AGAP3",1.06699341841432,-0.202,21.4351018182166,21.3877516229195,21.3673841488029,21.4291079219692,21.4528646579225,21.6685373392617,21.7634116772777,21.5417109390141
"AGFG1",2.86030098143256,-0.479,27.3754286757117,27.2130805709943,27.3373235617831,27.259688268576,27.715617116488,27.668834913715,27.8790889552707,27.8388816097516
"AGFG2",0.33639540939825,0.207,21.9093983798994,21.51581828926,21.59334292465,21.2932895625148,21.8495730855065,21.3731032059374,21.6004868087852,20.6609053257487
"AGGF1",3.29391781368986,-1.091,22.0045081740257,21.5679443319888,21.9757397751125,22.361883025776,22.7796321818383,23.2050475882595,23.0567565379736,23.2323561951384
"AGO1",1.75454680077743,0.818,20.7199111040399,20.5707110187987,19.9389205083722,21.0941829428824,19.778126530977,19.3571103928176,20.1582261266725,19.7601837588698
"AGO2",1.77617396637336,0.856,22.4746607729565,22.5351895556616,22.1771028005064,23.283299861624,21.8054703071913,21.4238566980675,21.5390991762737,22.2780956033816
"AGO3",1.09045637731032,1.503,22.5786365823829,19.7985960360263,20.0145908050875,22.5739488333201,19.9476421621026,20.0243680782013,18.7801570357197,20.2024213185642
"AGRN",1.81896883773971,-0.798,20.6750391648983,20.4490948044795,20.9368580261419,20.3046975315691,21.6417991838062,21.2401297730352,20.8009563204733,21.8732508382563
"AGTPBP1",4.29154864777059,-2.941,18.2583286649556,16.6829233074171,18.0006339468588,18.3582129861628,20.8615715367661,20.5515046198239,20.9088038325895,20.7427710049923
